,종목명,현재가,전일대비,등락률
0,소프트센,858,상승 42,+5.15%
1,시그네틱스,"1,992",상승 193,+10.73%
2,KODEX 200선물인버스2X,"2,220",하락 15,-0.67%
3,씨씨에스,"5,720",상승 220,+4.00%
4,베셀,705,상승 162,+29.83%
5,KR모터스,526,상승 29,+5.84%
6,KODEX 코스닥150선물인버스,"3,615",상승 5,+0.14%
7,인성정보,"5,280",하락 80,-1.49%
8,골든센츄리,142,하락 9,-5.96%
9,아이비김영,"2,535",상승 485,+23.66%
10,리노스,"1,901",상승 111,+6.20%
11,케이웨더,"18,870","상승 11,870",+169.57%
12,유비케어,"6,350",상승 300,+4.96%
13,디딤이앤에프,592,상승 85,+16.77%
14,카나리아바이오,"1,132",하락 134,-10.58%
