"학교명","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타장학금","총계(원)"
"계명대학교","사립","대구","54934540456","54009173885","153699890","771666681","27071668942","11627885300","4272544200","1855773718","0","221371000","9094094724","82006209398"
"계명문화대학교","사립","대구","15876432458","15784929898","19562560","71940000","4802109852","437619140","323354600","453913502","0","20392000","3566830610","20678542310"
"계원예술대학교","사립","경기","7589267894","7513957894","9000000","66310000","2618658476","821180000","1001995600","412540076","0","0","382942800","10207926370"
"고구려대학교","사립","전남","2161303800","2158303800","0","3000000","2299874500","56030000","27600000","0","0","0","2216244500","4461178300"
"고려대학교","사립","서울","36599716418","27944991316","892313890","7762411212","29849494910","2358250700","9434905677","3880231891","433351900","419483000","13323271742","66449211328"
"고려대학교(세종)","사립","세종","12576774333","12182222818","53809320","340742195","9682612100","533452080","4186005000","959831140","0","139198000","3864125880","22259386433"
"고려사이버대학교","사립","서울","7647683121","7542129621","9274000","96279500","2603704654","418413000","103977000","3454054","0","33627000","2044233600","10251387775"
"고신대학교","사립","부산","10428530075","9839044235","31415240","558070600","3611910296","1268873500","481588140","308642664","0","123523000","1429282992","14040440371"
"공주교육대학교","국공립","충남","2153202020","2129097500","9984520","14120000","1033282890","347231000","131599000","274202890","0","0","280250000","3186484910"
"공주대학교","국공립","충남","25248376105","24689803735","215676950","342895420","7915224268","3817786000","1448623450","1111624950","20887450","0","1516302418","33163600373"
"광신대학교","사립","광주","1688818220","1664118220","0","24700000","487771980","7652000","108000","24691380","0","0","455320600","2176590200"
"광양보건대학교","사립","전남","10900000","10900000","0","0","20750000","0","0","0","0","0","20750000","31650000"
"광운대학교","사립","서울","15850508463","15395097703","68986260","386424500","10513421132","2953939500","2975257500","1327602782","0","21834800","3234786550","26363929595"
"광주과학기술원","국공립","광주","542310596","509920596","4030000","28360000","4021081510","187745000","80340000","5430964","0","0","3747565546","4563392106"
"광주교육대학교","국공립","광주","4399396300","3755967620","577020880","66407800","1002147020","215410000","140817000","367424020","0","0","278496000","5401543320"
"광주대학교","사립","광주","18922736498","18679354298","46662200","196720000","7236571952","1582364570","1012979100","159724272","21232000","96680000","4363592010","26159308450"
"광주보건대학교","사립","광주","10547357669","10483041269","10316400","54000000","1869935406","693697400","621745000","63520506","0","16036000","474936500","12417293075"
"광주여자대학교","사립","광주","12628630211","12437780111","37385600","153464500","4380736000","1153189160","803577570","305346320","0","963000","2117659950","17009366211"
"구미대학교","사립","경북","19217467109","19099456969","62026140","55984000","7949685766","303042500","32369660","504463116","0","23806000","7086004490","27167152875"
